Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category
Shyam Steel,3.7,(551 reviews),0,"Metals & Mining, Iron & Steel, Private, Corporate, B2C, B2B",Private,1953 (71 yrs old),501-1000,,http://www.shyamsteel.com,Corporate,Medium
Elantas Beck India,4.5,(32 reviews),0,"Electrical Equipment, Public, Corporate, B2B",Public,1956 (68 yrs old),5001-10000,,https://www.elantas.com/beck-india,Corporate,Medium
Samax Telecom,,,0,"Telecom / ISP, LLP, Corporate, B2B",LLP,2006 (18 yrs old),51-200,,http://www.samax.in,Corporate,Small
Yashoda Super Speciality Hospital,3.9,(659 reviews),0,"Medical Services / Hospital, Clinical Research / Contract Research, Private, Corporate, B2C",Private,1989 (35 yrs old),1001-5000,,https://www.yashodahospitals.com/,Corporate,Medium
Star Health Insurance,3.8,(1.5K reviews),873 followers ,"Insurance, Private, Corporate, B2C",Private,2006 (18 yrs old),10001-50000,,http://www.starhealth.in,Corporate,Large
Birla Open Minds International School,3.8,(156 reviews),0,"Education / Training, Private, Corporate, B2C, B2B",Private,2010 (14 yrs old),51-200,"Mumbai, Maharashtra",https://www.birlaopenmindseducation.com/,Corporate,Small
Communications Test Design,3.6,(344 reviews),0,"IT Services & Consulting, Telecom / ISP, Urban Transport, Engineering & Construction, Corporate, B2C, B2B",,1975 (49 yrs old),5001-10000,,https://www.ctdi.com/,Corporate,Medium
Cliantha Research,4.0,(200 reviews),0,"Clinical Research / Contract Research, Analytics / KPO / Research, Public, Corporate, B2B",Public,2004 (20 yrs old),501-1000,,http://www.cliantha.com,Corporate,Medium
ARB Bearings,3.7,(136 reviews),0,"Auto Components, Financial Services, Public, Corporate, B2B",Public,1990 (34 yrs old),501-1000,,https://www.arb-bearings.com/,Corporate,Medium
Kokilaben Dhirubhai Ambani Hospital,3.9,(352 reviews),9.1K followers ,"Medical Services / Hospital, Private, Corporate, B2C, B2B",Private,2009 (15 yrs old),1001-5000,,,Corporate,Medium
